number,name,theme,subtheme,rating
41319,{Hot cocoa van},Friends,Snow Resort,
41320,Heartlake Frozen Yogurt Shop,Friends,,
41321,Snow Resort Off-Roader,Friends,Snow Resort,
41322,Snow Resort Ice Rink,Friends,Snow Resort,
41323,Snow Resort Chalet,Friends,Snow Resort,
41324,Snow Resort Ski Lift,Friends,Snow Resort,
41326,Friends Advent Calendar,Friends,Seasonal,
41328,{?},Friends,,
41329,{?},Friends,,
41330,{?},Friends,,
41585,Batman,BrickHeadz,DC Comics Super Heroes,
41586,Batgirl,BrickHeadz,DC Comics Super Heroes,
41587,Robin,BrickHeadz,DC Comics Super Heroes,
41588,The Joker,BrickHeadz,DC Comics Super Heroes,
41589,Captain America,BrickHeadz,Marvel Super Heroes,
41590,Iron Man,BrickHeadz,Marvel Super Heroes,
41591,Black Widow,BrickHeadz,Marvel Super Heroes,
41592,The Hulk,BrickHeadz,Marvel Super Heroes,
41593,Captain Jack Sparrow,BrickHeadz,Disney,
41594,Captain Armando Salazar,BrickHeadz,Disney,
41595,Belle,BrickHeadz,Disney,
41596,Beast,BrickHeadz,Disney,
42057,Ultralight Helicopter,Technic,,
42058,Stunt Bike,Technic,,5.0
42059,Stunt Truck,Technic,,5.0
42060,Roadwork Crew,Technic,,4.0
42061,Telehandler,Technic,,4.0
42062,Container Yard,Technic,,
42063,BMW R 1200 GS Adventure,Technic,,
42064,Ocean Explorer,Technic,,
42065,RC Tracked Racer,Technic,,4.5
42066,Air Race Jet,Technic,,
42068,Airport Rescue Vehicle,Technic,,
42069,Extreme Adventure,Technic,,
42070,6x6 All Terrain Tow Truck,Technic,,
45021,Our Town,Education,Duplo,
60135,ATV Arrest,City,Police,
60136,Police Starter Set,City,Police,5.0
60137,Tow Truck Trouble,City,Police,5.0
60138,High-speed Chase,City,Police,3.0
60139,Mobile Command Center,City,Police,
60140,Bulldozer Break-In,City,Police,
60141,Police Station,City,Police,
60142,Money Transporter,City,Police,3.0
60143,Auto Transport Heist,City,Police,4.0
60144,Race Plane,City,General,4.3
60145,Buggy,City,Traffic,4.0
60146,Stunt Truck,City,Traffic,
60147,Fishing Boat,City,Harbour,4.5
60148,ATV Race Team,City,Traffic,4.0
60149,4x4 with Catamaran,City,Harbour,5.0
