number,name,image,theme,subtheme,rating,pieces,minifigs,us_price,eu_price,owner,want_it
41117,Pop Star TV Studio,https://images.brickset.com/sets/small/41117-1.jpg,Friends,Pop Star,4.0,194,1,19.99,17.49,634,368
41118,Heartlake Supermarket,https://images.brickset.com/sets/small/41118-1.jpg,Friends,,5.0,313,2,29.99,34.99,1400,632
41119,Heartlake Cupcake Cafe,https://images.brickset.com/sets/small/41119-1.jpg,Friends,,5.0,439,2,39.99,39.99,1155,657
41120,Adventure Camp Archery,https://images.brickset.com/sets/small/41120-1.jpg,Friends,Adventure Camp,4.0,114,1,9.99,9.99,1034,374
41121,Adventure Camp Rafting,https://images.brickset.com/sets/small/41121-1.jpg,Friends,Adventure Camp,5.0,320,2,29.99,20.99,858,542
41122,Adventure Camp Tree House,https://images.brickset.com/sets/small/41122-1.jpg,Friends,Adventure Camp,5.0,726,3,79.99,34.99,1043,728
41123,Foal's Washing Station,https://images.brickset.com/sets/small/41123-1.jpg,Friends,Vet,,77,1,9.99,9.99,540,282
41124,Heartlake Puppy Daycare,https://images.brickset.com/sets/small/41124-1.jpg,Friends,Vet,,286,2,29.99,29.99,479,410
41125,Horse Vet Trailer,https://images.brickset.com/sets/small/41125-1.jpg,Friends,Vet,,370,2,39.99,39.99,511,376
41126,Heartlake Riding Club,https://images.brickset.com/sets/small/41126-1.jpg,Friends,,,575,2,59.99,64.99,522,398
41127,Amusement Park Arcade,https://images.brickset.com/sets/small/41127-1.jpg,Friends,Amusement Park,5.0,174,1,14.99,14.99,1293,585
41128,Amusement Park Space Ride,https://images.brickset.com/sets/small/41128-1.jpg,Friends,Amusement Park,5.0,195,1,19.99,19.99,1297,618
41129,Amusement Park Hot Dog Van,https://images.brickset.com/sets/small/41129-1.jpg,Friends,Amusement Park,3.0,243,2,29.99,29.99,2118,920
41130,Amusement Park Roller Coaster,https://images.brickset.com/sets/small/41130-1.jpg,Friends,Amusement Park,4.0,1124,4,99.99,99.99,1331,860
41131,Friends Advent Calendar,https://images.brickset.com/sets/small/41131-1.jpg,Friends,Seasonal,4.0,218,2,29.99,19.99,882,223
41132,Heartlake Party Shop,https://images.brickset.com/sets/small/41132-1.jpg,Friends,Party,,176,2,29.99,29.99,264,408
41133,Amusement Park Bumper Cars,https://images.brickset.com/sets/small/41133-1.jpg,Friends,Amusement Park,4.0,424,2,39.99,39.99,830,733
41134,Heartlake Performance School,https://images.brickset.com/sets/small/41134-1.jpg,Friends,,3.0,774,3,79.99,79.99,282,593
41135,Livi's Pop Star House,https://images.brickset.com/sets/small/41135-1.jpg,Friends,Pop Star,4.0,597,2,49.99,54.99,960,663
41140,Daisy's Beauty Salon,https://images.brickset.com/sets/small/41140-1.jpg,Disney,Palace Pets,,98,,9.99,4.99,571,244
41141,Pumpkin's Royal Carriage,https://images.brickset.com/sets/small/41141-1.jpg,Disney,Palace Pets,3.0,79,,9.99,9.99,614,250
41142,Palace Pets Royal Castle,https://images.brickset.com/sets/small/41142-1.jpg,Disney,Palace Pets,,186,,19.99,19.99,541,282
41171,Emily Jones & the Baby Wind Dragon,https://images.brickset.com/sets/small/41171-1.jpg,Elves,,4.0,80,1,9.99,9.99,1567,403
41172,The Water Dragon Adventure,https://images.brickset.com/sets/small/41172-1.jpg,Elves,,,212,1,19.99,24.99,1734,426
41173,Elvendale School of Dragons,https://images.brickset.com/sets/small/41173-1.jpg,Elves,,,230,1,19.99,19.99,1116,437
41174,The Starlight Inn,https://images.brickset.com/sets/small/41174-1.jpg,Elves,,5.0,343,2,29.99,29.99,1178,524
41175,Fire Dragon's Lava Cave,https://images.brickset.com/sets/small/41175-1.jpg,Elves,,,441,2,39.99,39.99,1181,540
41176,The Secret Market Place,https://images.brickset.com/sets/small/41176-1.jpg,Elves,,5.0,691,2,59.99,29.99,1170,623
41177,The Precious Crystal Mine,https://images.brickset.com/sets/small/41177-1.jpg,Elves,,,273,2,29.99,17.49,822,502
41178,The Dragon Sanctuary,https://images.brickset.com/sets/small/41178-1.jpg,Elves,,,585,2,49.99,49.99,802,577
41179,Queen Dragon's Rescue,https://images.brickset.com/sets/small/41179-1.jpg,Elves,,,833,2,69.99,69.99,843,570
41180,Ragana's Magic Shadow Castle,https://images.brickset.com/sets/small/41180-1.jpg,Elves,,5.0,1014,3,99.99,89.99,776,651
41490,Superman & Wonder Woman,https://images.brickset.com/sets/small/41490-1.jpg,BrickHeadz,DC Comics Super Heroes,,,,39.99,,74,412
41491,Batman & The Joker,https://images.brickset.com/sets/small/41491-1.jpg,BrickHeadz,DC Comics Super Heroes,,,,39.99,,79,444
41492,Iron Man & Captain America,https://images.brickset.com/sets/small/41492-1.jpg,BrickHeadz,Marvel Super Heroes,,,,39.99,,71,428
41493,Black Panther & Doctor Strange,https://images.brickset.com/sets/small/41493-1.jpg,BrickHeadz,Marvel Super Heroes,,,,39.99,,76,415
41554,Kuffs,https://images.brickset.com/sets/small/41554-1.jpg,Mixels,Series 7,,63,,4.99,1.99,1753,245
41555,Busto,https://images.brickset.com/sets/small/41555-1.jpg,Mixels,Series 7,,69,,4.99,1.99,1819,224
41556,Tiketz,https://images.brickset.com/sets/small/41556-1.jpg,Mixels,Series 7,,62,,4.99,1.99,1664,231
41557,Camillot,https://images.brickset.com/sets/small/41557-1.jpg,Mixels,Series 7,,64,,4.99,1.99,1786,264
41558,Mixadel,https://images.brickset.com/sets/small/41558-1.jpg,Mixels,Series 7,,63,,4.99,1.99,1782,252
41559,Paladum,https://images.brickset.com/sets/small/41559-1.jpg,Mixels,Series 7,,64,,4.99,1.99,1875,254
41560,Jamzy,https://images.brickset.com/sets/small/41560-1.jpg,Mixels,Series 7,,70,,4.99,1.99,1767,226
41561,Tapsy,https://images.brickset.com/sets/small/41561-1.jpg,Mixels,Series 7,,57,,4.99,1.99,2065,291
41562,Trumpsy,https://images.brickset.com/sets/small/41562-1.jpg,Mixels,Series 7,,54,,4.99,1.99,1910,240
41563,Splasho,https://images.brickset.com/sets/small/41563-1.jpg,Mixels,Series 8,,67,,4.99,3.99,1409,309
41564,Aquad,https://images.brickset.com/sets/small/41564-1.jpg,Mixels,Series 8,,70,,4.99,3.99,1320,289
41565,Hydro,https://images.brickset.com/sets/small/41565-1.jpg,Mixels,Series 8,,70,,4.99,3.99,1338,294
41566,Sharx,https://images.brickset.com/sets/small/41566-1.jpg,Mixels,Series 8,,55,,4.99,3.99,1352,351
41567,Skulzy,https://images.brickset.com/sets/small/41567-1.jpg,Mixels,Series 8,,66,,4.99,3.99,1445,379
