number,name,image,theme,subtheme,year,rating,pieces,minifigs,us_price,eu_price,owner,want_it
5004898,1 stud Yellow Storage Brick,https://images.brickset.com/sets/small/5004898-1.jpg,Gear,Storage,2015,,,,9.99,,35,32
5004899,New Yoda Chronicles Complete Collection DVD,https://images.brickset.com/sets/small/5004899-1.jpg,Gear,Digital media,2015,,,,19.99,,81,65
5004900,Olivia Watch with Mini Doll,https://images.brickset.com/sets/small/5004900-1.jpg,Gear,Watches/Clocks,2015,,,,24.99,,7,12
5004901,Stephanie Watch with Mini Doll,https://images.brickset.com/sets/small/5004901-1.jpg,Gear,Watches/Clocks,2015,,,,24.99,,5,12
5004942,A LEGO Brickumentary DVD,https://images.brickset.com/sets/small/5004942-1.jpg,Gear,Digital media,2015,,,,22.99,,125,120
5005012,Olivia Watch with Mini-Doll,https://images.brickset.com/sets/small/5005012-1.jpg,Gear,Watches/Clocks,2015,,,,,24.99,5,9
5005013,Boba Fett Minifigure Watch,https://images.brickset.com/sets/small/5005013-1.jpg,Gear,Watches/Clocks,2015,,,,,12.49,10,18
5005014,C 3PO and R2 D2 Minifigure Watch,https://images.brickset.com/sets/small/5005014-1.jpg,Gear,Watches/Clocks,2015,,,,,24.99,7,15
6102131,LEGO Mixels - Series 4 - Display Box,https://images.brickset.com/sets/small/6102131-1.jpg,Mixels,Series 4,2015,,521,,,,13,21
6102139,LEGO Mixels - Series 5 - Display Box ,https://images.brickset.com/sets/small/6102139-1.jpg,Mixels,Series 5,2015,,525,,,,13,20
6102148,LEGO Mixels - Series 6 - Display Box,https://images.brickset.com/sets/small/6102148-1.jpg,Mixels,Series 6,2015,,566,,,,13,19
,Force Friday Commemorative Brick,https://images.brickset.com/sets/small/30UNIQUE15-1.jpg,Star Wars,The Force Awakens,2015,,1,,,,571,410
,The ultimate battle for CHIMA,https://images.brickset.com/sets/small/BIGBOX-1.jpg,Legends of Chima,Fire vs. Ice,2015,,10004,,,,4,46
,Tatooine Mini-build,https://images.brickset.com/sets/small/CELEB2015-1.jpg,Star Wars,Promotional,2015,,178,1,,,194,982
,Clermont-Ferrand 1st anniversary Exclusive Minifigure Pack,https://images.brickset.com/sets/small/CLERMONTFERRAND-2.jpg,Promotional,LEGO brand stores,2015,4.0,,,,,12,103
,Justice League vs Bizarro League DVD/Blu-Ray,https://images.brickset.com/sets/small/DCSHDVD1-1.jpg,Gear,Digital media,2015,4.0,,1,,,1344,186
,Justice League: Attack of the Legion of Doom DVD/Blu-ray,https://images.brickset.com/sets/small/DCSHDVD2-1.jpg,Gear,Digital media,2015,5.0,,1,,,1003,170
,Dr. Wu,https://images.brickset.com/sets/small/DRWU-1.jpg,Jurassic World,,2015,4.0,,1,,,444,715
,Enki the Panther,https://images.brickset.com/sets/small/EL241501-1.jpg,Elves,Magazine Gift,2015,,,,,,205,300
,Flamy the Fox,https://images.brickset.com/sets/small/EL241502-1.jpg,Elves,Magazine Gift,2015,,,,,,187,264
,Tatooine Mini Build,https://images.brickset.com/sets/small/FANEXPO2015-1.jpg,Star Wars,Promotional,2015,,178,,,,82,462
,Dolphin and beach,https://images.brickset.com/sets/small/FR471518-1.jpg,Friends,Magazine gift,2015,,,,,,185,210
,Penguin's ice slide,https://images.brickset.com/sets/small/FR561501-1.jpg,Friends,Magazine gift,2015,,10,,,,300,305
,Dressing table,https://images.brickset.com/sets/small/FR561502-1.jpg,Friends,Magazine gift,2015,,22,,,,202,205
,Rabbit and tree,https://images.brickset.com/sets/small/FR561503-1.jpg,Friends,Magazine gift,2015,,23,,,,250,200
,Mini Party,https://images.brickset.com/sets/small/FR561504-1.jpg,Friends,Magazine gift,2015,4.0,,,,,222,198
,Picnic Set,https://images.brickset.com/sets/small/FR561505-1.jpg,Friends,Magazine gift,2015,,,,,,188,207
,Sweet Garden and Kitchen,https://images.brickset.com/sets/small/FR561506-1.jpg,Friends,Magazine gift,2015,,23,,,,221,200
,Garden set,https://images.brickset.com/sets/small/FR561507-1.jpg,Friends,Magazine gift,2015,,,,,,227,242
,Turtle in the Tropics,https://images.brickset.com/sets/small/FR561508-1.jpg,Friends,Magazine gift,2015,,14,,,,233,195
